,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9147081031687907,0.9147081031687907,0.9147081031687907,0.9088022319312213,0.9037950499185726,0.05441352339876381,0.03737274258601056,0.03733133857270553,0.0371352139569496
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6688447704532685,0.6649531572120448,0.6617354385600798,0.03958048153633503,0.02724162744862598,0.027219407276270285,0.02706859832224391
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6956895087373941,0.6920514447111688,0.6892047021562906,0.028788551715330787,0.02028279371746699,0.02028279371746699,0.02014849379106399
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1944766869755938,1.1863493648635597,1.17930333767202,0.07073278493717966,0.05073212449651613,0.05058413759975374,0.050354377408519495
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017115373482989717,0.017030078444247275,0.016924919012766975,0.0007066485271753698,0.000510949895941743,0.000510949895941743,0.000507271629606533
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.060969753010587,9.041934826728792,9.02728294983494,0.7619285318172062,0.5755164279792492,0.5746333786510366,0.5722851068655942
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.269096111629358,15.23647158421826,15.20829496277662,1.2742596873232839,0.9639844276849248,0.9617868239346719,0.9575570791607596
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.0173959132140592,0.017299990201845,0.017214419089199705,0.00042044328198753,0.0002600195116698255,0.0002558856684327143,0.0002558856684327143
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.138882127595444,8.123943352838433,8.11286122859791,0.705684279124918,0.5356220830801606,0.5346894517729159,0.5324852859408888
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04617824244896124,0.0459311591300662,0.04565497610400018,0.002953050319826789,0.0021569793940809526,0.0021569793940809526,0.0021569793940809526
QCD,717986.216814939,970717.8146709627,970717.8146709627,962216.3978416026,955328.3949004482,28.987473683008364,0.5639335232714174,0.5639335232714174,0.5639335232714174
TT,63126.80979180276,63126.80979180276,63126.80979180276,62714.21430804499,62290.703474200425,9.956638177588577,1.5990511203879654,1.516547597350671,1.4427129458253598
ST,5417.824558008516,5417.824558008516,5417.824558008516,5380.176293677084,5350.773696634727,1.0695126604080243,0.30245845618708966,0.30245845618708966,0.30245845618708966
W+Jets,9487.889178263631,9487.889178263631,9487.889178263631,9424.292575831972,9375.118673797197,2.579765822019367,0.8188762732166077,0.8188762732166077,0.8188762732166077
Z+Jets,12055.822300436781,12055.822300436781,12055.822300436781,11968.016139487008,11904.514452147456,1.3432418892387723,0.42252551921661946,0.42252551921661946,0.42252551921661946
Diboson,544.751536187187,544.751536187187,544.751536187187,541.5192000426408,539.5255957808083,0.0,0.0,0.0,0.0
ggFHbb,120.74204174793252,120.74204174793252,120.74204174793252,120.02707196890958,119.27175261578469,0.0,0.0,0.0,0.0
VBFHbb,32.24173303425971,32.24173303425971,32.24173303425971,32.089487243194796,31.921442997500897,0.0,0.0,0.0,0.0
ZHbb,32.70020301080715,32.70020301080715,32.70020301080715,32.51666448179822,32.40029638484181,0.0017282926164173262,0.0017282926164173262,0.0017282926164173262,0.0017282926164173262
WHbb,56.014320595270185,56.014320595270185,56.014320595270185,55.69337399997595,55.51504919284625,0.0032032489110863063,0.0015999289769654825,0.0015999289769654825,0.0015999289769654825
ggZHbb,4.8805631912185055,4.8805631912185055,4.8805631912185055,4.852821845932874,4.827078996358681,0.00040401257297512083,0.0,0.0,0.0
ttHbb,156.94119216557863,156.94119216557863,156.94119216557863,155.9939482895008,154.97672213467678,0.026779530104425155,0.012937011715639823,0.012937011715639823,0.012820677168142627
HWW,80.56791059341468,80.56791059341468,80.56791059341468,80.1332628058381,79.59897023669294,0.5483200146749663,0.18862053374335175,0.18206864140136508,0.1732411574804079
Data,1061835.0,1061835.0,1061835.0,1061835.0,1061835.0,103.0,18.0,18.0,17.0
