,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,147415.0940502474,11336.761334672356,356.4376984611937,356.4376984611937,356.4376984611937
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,11464.437559566615,808.566907860307,34.14893973732204,30.993549625334445,29.474124513407194
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1016.9280621464596,60.66497559507507,3.356377380773341,3.356377380773341,2.6841736387769504
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1185.5396481512482,72.98580387903831,6.097254868786952,6.097254868786952,6.097254868786952
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1632.9274834352734,294.1654988169621,9.993277230550795,9.993277230550795,9.993277230550795
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,46.122519596518046,10.973085726484364,0.48616688795535856,0.48616688795535856,0.48616688795535856
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,60.046739523818076,30.90994025879933,0.5274405805266331,0.5274405805266331,0.5274405805266331
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,20.205237377195097,10.996821531092893,0.3077832783774024,0.3077832783774024,0.3077832783774024
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,15.733004482603187,8.512197111913054,0.4741885388475282,0.4728805304349564,0.4728805304349564
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,30.638473230982566,15.849664298189568,1.1740935963195964,1.1730760892815635,1.1666180288164116
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,1.99718906540258,0.9754867542322384,0.036217100334453065,0.036217100334453065,0.035920850789724006
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,42.3993096672669,13.650135335800005,0.5680096484432018,0.5204938948598017,0.4747554455396032
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,14.81614340364223,1.0611625146895383,0.14931021244539855,0.134688667945647,0.12659461747931516
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,146205.0,10155.0,514.0,509.0,509.0
