,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,0.1348657476260752,0.09451863521740458,0.09437150999699187,0.0939057734931438
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.264909243644536,1.2618467256927668,1.2597105355923204,0.09959670333556399,0.0689165664561201,0.06881276143570736,0.06850167352925494
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3326632776423553,1.3290754531862934,1.326456633520162,0.07272352384944678,0.0494845519862715,0.049384721671259034,0.04909166493316003
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1462080925701774,2.1397217826630057,2.134657892688486,0.16693671010552405,0.11529867020962153,0.11503167079380505,0.11435099722711475
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.034024377674540085,0.03392488917746438,0.03385106547434957,0.0018811646927359318,0.0014118413753117713,0.0014060320164535004,0.0014013438007601667
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.740910849479715,20.727007927656505,2.1585019058759234,1.6381705067109924,1.6351298519842896,1.6295266775623982
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78860657736119,34.750944180981556,34.72689350102866,3.629465405178294,2.777514447802316,2.772613761660545,2.7620172742616256
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499528349928152,0.034883938631222695,0.034828787476897716,0.0011217067019144162,0.0007799503782162023,0.0007798089829283552,0.0007711790124800327
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.901746176077005,18.88325592507293,18.87195683641766,2.0148036339573525,1.5351898808838063,1.5327272667532117,1.5265861283056106
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08890353276162892,0.08863948905629107,0.08838388941581067,0.007056070975664143,0.005123605193644173,0.005109985123098504,0.005082102578361759
QCD,1117757.9198795073,1251971.716351885,1251971.716351885,1247814.9781850395,1244750.07933536,88.89784443500676,12.82067446487456,12.82067446487456,12.82067446487456
TT,114729.52068857195,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,20.851580224873963,3.3184434980811437,2.9069086244182043,2.8956444863283863
ST,9991.097357360093,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,2.50507160856611,0.6894987125411937,0.6894987125411937,0.6894987125411937
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,6.247174843697289,1.2144252967096187,1.2144252967096187,1.2144252967096187
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,4.1633434974680235,2.1482291128058835,2.1482291128058835,2.1482291128058835
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,0.28001420954562,0.0,0.0,0.0
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,0.0,0.0,0.0,0.0
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,0.0,0.0,0.0,0.0
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,0.019165071246600798,0.011562703181241899,0.011562703181241899,0.011562703181241899
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,0.02283551089152013,0.01675278403292014,0.01675278403292014,0.01675278403292014
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,0.0007379976097465021,0.0007379976097465021,0.0007379976097465021,0.0007379976097465021
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,0.0958537670996162,0.036958633172860515,0.036958633172860515,0.036958633172860515
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,1.2098880271012145,0.37276893952874834,0.3714584797257175,0.35424383865543135
Data,1414872.0,1414872.0,1414872.0,1414872.0,1414872.0,205.0,45.0,44.0,41.0
