,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.676130328580837,1.676130328580837,1.6709099393660427,1.6672443971869404,0.028876607084854497,0.014583789297919557,0.014532642479110472,0.014532642479110472,,
QCD,1117757.9198795073,1251971.716351885,1247749.91820995,1244813.4082957197,17.945008817571654,0.9479854870513743,0.9479854870513743,0.9479854870513743,,
TT,114729.52068857195,114729.52068857195,114437.97026728191,114132.08746619607,5.798795801912014,0.6058845979325174,0.6058845979325174,0.6058845979325174,,
ST,9991.097357360093,9991.097357360093,9961.00046905086,9938.240034904185,1.3270895761658708,0.0,0.0,0.0,,
W+Jets,14710.822213085146,14710.822213085146,14670.386968672208,14643.532361751837,1.3240541277111542,0.09506311296715518,0.09506311296715518,0.09506311296715518,,
Z+Jets,21597.004857058182,21597.004857058182,21527.43054513457,21486.385080340002,0.8149782493388988,0.32772047717289904,0.32772047717289904,0.32772047717289904,,
Diboson,936.1606241609028,936.1606241609028,932.1843657435936,930.3708375626252,0.0,0.0,0.0,0.0,,
ggFHbb,224.56874142701201,224.56874142701201,224.0890706789042,223.6905964784125,0.0,0.0,0.0,0.0,,
VBFHbb,66.27722451912622,66.27722451912622,66.158353933224,66.05208234932266,0.0313406363497363,0.0,0.0,0.0,,
ZHbb,63.465766584473805,63.465766584473805,63.28863350654419,63.18969796746182,0.0013718503604822627,0.0013718503604822627,0.0013718503604822627,0.0013718503604822627,,
WHbb,108.86564442012758,108.86564442012758,108.59950330312063,108.482473694838,0.0066932442039737625,0.0038431623322436274,0.0038431623322436274,0.0038431623322436274,,
ggZHbb,9.5080271296301,9.5080271296301,9.48581603967797,9.468074681719918,0.00024366724863733052,0.0,0.0,0.0,,
ttHbb,312.2634270090423,312.2634270090423,311.30158920167617,310.42204762583594,0.008785657593391342,0.0024124437817986334,0.0024124437817986334,0.0024124437817986334,,
HWW,150.72907678953348,150.72907678953348,150.30305058855018,149.8340750587529,0.2812771204808927,0.04679101711101491,0.04414270408692401,0.04239937920902053,,
Data,1414872.0,1414872.0,,,61.0,7.0,7.0,6.0,1414872.0,1414872.0
