,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.676130328580837,1.676130328580837,1.6666139971059066,1.6591154859894288,0.5392314268271613,0.5382831533037054,0.5350088116392351,,
QCD,1117757.9198795073,1251971.716351885,1243348.6381278953,1237229.9947820366,984110.296770646,982452.5644824128,977628.559618254,,
TT,114729.52068857195,114729.52068857195,114029.4683025561,113319.76404047944,90955.45644219773,80881.30538631427,71131.2096658322,,
ST,9991.097357360093,9991.097357360093,9922.140634086192,9871.37221638479,7979.039007530115,7205.524262670022,6438.530423657285,,
W+Jets,14710.822213085146,14710.822213085146,14632.074465297448,14569.755961664541,12054.158043042291,12021.976840486413,11975.450020846054,,
Z+Jets,21597.004857058182,21597.004857058182,21453.74146222078,21367.30115930057,11970.011820234135,11940.92744099048,11862.585483153585,,
Diboson,936.1606241609028,936.1606241609028,930.7571638443397,927.5041399569494,532.4015078009712,504.23564194734024,473.6898454002983,,
ggFHbb,224.56874142701201,224.56874142701201,223.62056769434213,222.51728560123743,70.58857478001465,70.44993796305911,69.86715352323367,,
VBFHbb,66.27722451912622,66.27722451912622,66.00733631376538,65.66476989295606,19.8217159627771,19.742577142650454,19.568892299261485,,
ZHbb,63.465766584473805,63.465766584473805,63.16347309829043,62.98984926782434,19.015826531340544,18.96902207706748,18.780120548710595,,
WHbb,108.86564442012758,108.86564442012758,108.37346398025522,108.13532762314294,36.421022818521436,36.34049428918597,36.08276008676409,,
ggZHbb,9.5080271296301,9.5080271296301,9.45631134146326,9.41204558779923,3.7979646104080773,3.7841777945949966,3.7477780523124506,,
ttHbb,312.2634270090423,312.2634270090423,310.20534812719706,308.225452629239,194.99479093760414,171.47758722748398,148.2069320912156,,
HWW,150.72907678953348,150.72907678953348,149.74304835468368,148.6507210554542,119.93206609737227,99.05179870402404,81.24089539103772,,
Data,1414872.0,1414872.0,,,1147439.0,1132804.0,1116698.0,1414872.0,1414872.0
