,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.060969753010587,9.041934826728792,9.02728294983494,1.672982425962086,1.2827419221474679,1.2806966749211708,1.2757972156493493
QCD,717986.216814939,956785.8146709627,956785.8146709627,948406.4124347997,941617.267942029,14.70802640418747,0.07330427872563347,0.07330427872563347,0.07330427872563347
TT,63126.80979180276,63126.80979180276,63126.80979180276,62714.21430804499,62290.703474200425,2.1115629246734655,0.35252330283890154,0.35252330283890154,0.35252330283890154
ST,5417.824558008516,5417.824558008516,5417.824558008516,5380.176293677084,5350.773696634727,-0.017446695500479413,0.0,0.0,0.0
W+Jets,9487.889178263631,9487.889178263631,9487.889178263631,9424.292575831972,9375.118673797197,0.5333530250486487,0.13614882973432388,0.13614882973432388,0.13614882973432388
Z+Jets,12055.822300436781,12055.822300436781,12055.822300436781,11968.016139487008,11904.514452147456,0.13412189797405288,0.05238238965513997,0.05238238965513997,0.05238238965513997
Diboson,544.751536187187,544.751536187187,544.751536187187,541.5192000426408,539.5255957808083,0.0,0.0,0.0,0.0
ggFHbb,120.74204174793252,120.74204174793252,120.74204174793252,120.02707196890958,119.27175261578469,0.0,0.0,0.0,0.0
VBFHbb,32.24173303425971,32.24173303425971,32.24173303425971,32.089487243194796,31.921442997500897,0.0,0.0,0.0,0.0
ZHbb,32.70020301080715,32.70020301080715,32.70020301080715,32.51666448179822,32.40029638484181,0.0,0.0,0.0,0.0
WHbb,56.014320595270185,56.014320595270185,56.014320595270185,55.69337399997595,55.51504919284625,0.0,0.0,0.0,0.0
ggZHbb,4.8805631912185055,4.8805631912185055,4.8805631912185055,4.852821845932874,4.827078996358681,0.0002247348412580244,0.0,0.0,0.0
ttHbb,156.94119216557863,156.94119216557863,156.94119216557863,155.9939482895008,154.97672213467678,0.004882050061072321,0.0,0.0,0.0
HWW,80.56791059341468,80.56791059341468,80.56791059341468,80.1332628058381,79.59897023669294,0.07880528631450416,0.019517956375230353,0.01874467493953429,0.01874467493953429
Data,1047903.0,1047903.0,1047903.0,1047903.0,1047903.0,20.0,5.0,5.0,5.0
