,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF < 0.999,BDTScore >= 0.996,bbFatJetParticleNetMD_Txbb >= 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1005594143174928,1.0940812392241102,1.08307212221333,0.06301425966456435,0.042586656419199766,0.0425249128908771,0.042381337585468505
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208187.047601593,1199914.6854996895,1199906.968442861,35.64171222986632,6.912284999835738,6.912284999835738,6.912284999835738
TT,76537.02908224265,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,75501.22743606972,14.921142618864241,3.1924262158239327,2.903196021755328,2.6177292515903905
ST,6617.229257123121,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,6530.296016033862,0.8747503362506237,0.0,0.0,0.0
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,12264.238969325628,2.823761429172084,0.08571279255314891,0.08571279255314891,0.08571279255314891
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,14517.037556219659,1.83190703568116,0.8378464550850027,0.8378464550850027,0.8378464550850027
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,695.3097641927543,0.0,0.0,0.0,0.0
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,137.14696515108136,0.0,0.0,0.0,0.0
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,40.3369080970762,0.0,0.0,0.0,0.0
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,38.14508043229702,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,65.5789510146088,0.008595421813674762,0.008595421813674762,0.008595421813674762,0.008595421813674762
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,5.855043713430598,0.00047704591933229177,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,185.6322493149411,0.035609415595907405,0.013796552022104626,0.013796552022104626,0.011174634750663735
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,96.14411210086026,0.6438179697927204,0.18463008638762726,0.17127744217862706,0.16400100127862988
Data,1331012.0,1331012.0,1331012.0,1331012.0,1331012.0,1330979.0,161.0,29.0,29.0,29.0
