,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF < 0.999,BDTScore >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9147081031687907,0.9147081031687907,0.9147081031687907,0.9088022319312213,0.9037950499185726,0.894212043817242,0.025504038074196194,0.017528981970197113,0.017502958519725977,0.017325997330043384
QCD,717986.216814939,956785.8146709627,956785.8146709627,948406.4124347997,941617.267942029,941611.5011837472,6.348761679723219,0.0,0.0,0.0
TT,63126.80979180276,63126.80979180276,63126.80979180276,62714.21430804499,62290.703474200425,62288.9303772574,3.1717601732710605,0.5396760587837113,0.49722454767843,0.49722454767843
ST,5417.824558008516,5417.824558008516,5417.824558008516,5380.176293677084,5350.773696634727,5350.7186052379175,0.3969921914007734,0.0,0.0,0.0
W+Jets,9487.889178263631,9487.889178263631,9487.889178263631,9424.292575831972,9375.118673797197,9374.685787885508,0.7590441485507551,0.08231603149506145,0.08231603149506145,0.08231603149506145
Z+Jets,12055.822300436781,12055.822300436781,12055.822300436781,11968.016139487008,11904.514452147456,11904.380330249478,0.43484855434575803,0.1321945854756851,0.1321945854756851,0.1321945854756851
Diboson,544.751536187187,544.751536187187,544.751536187187,541.5192000426408,539.5255957808083,539.5255957808083,0.0,0.0,0.0,0.0
ggFHbb,120.74204174793252,120.74204174793252,120.74204174793252,120.02707196890958,119.27175261578469,119.27175261578469,0.0,0.0,0.0,0.0
VBFHbb,32.24173303425971,32.24173303425971,32.24173303425971,32.089487243194796,31.921442997500897,31.921442997500897,0.0,0.0,0.0,0.0
ZHbb,32.70020301080715,32.70020301080715,32.70020301080715,32.51666448179822,32.40029638484181,32.40029638484181,0.0,0.0,0.0,0.0
WHbb,56.014320595270185,56.014320595270185,56.014320595270185,55.69337399997595,55.51504919284625,55.51504919284625,0.0008742045615378661,0.0,0.0,0.0
ggZHbb,4.8805631912185055,4.8805631912185055,4.8805631912185055,4.852821845932874,4.827078996358681,4.826854261517424,0.00029666866082620695,0.0,0.0,0.0
ttHbb,156.94119216557863,156.94119216557863,156.94119216557863,155.9939482895008,154.97672213467678,154.97141978934926,0.00826902341908993,0.003960782296737523,0.003960782296737523,0.003960782296737523
HWW,80.56791059341468,80.56791059341468,80.56791059341468,80.1332628058381,79.59897023669294,79.52003283293574,0.22714860330538145,0.08405078240068461,0.0819131837396724,0.07858780811505685
Data,1047903.0,1047903.0,1047903.0,1047903.0,1047903.0,1047879.0,36.0,5.0,5.0,4.0
