,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.676130328580837,1.676130328580837,1.6709099393660427,1.6672443971869404,0.5425425351947483,0.5415806674625699,0.538276237100956,,
QCD,1117757.9198795073,1251971.716351885,1247749.91820995,1244813.4082957197,990262.9893848071,988583.6363515519,983716.5641421787,,
TT,114729.52068857195,114729.52068857195,114437.97026728191,114132.08746619607,91615.56369179636,81437.45120647234,71581.70279668023,,
ST,9991.097357360093,9991.097357360093,9961.00046905086,9938.240034904185,8036.812959953431,7254.914614609904,6481.227269454703,,
W+Jets,14710.822213085146,14710.822213085146,14670.386968672208,14643.532361751837,12114.887858360831,12082.260180323921,12035.390241594054,,
Z+Jets,21597.004857058182,21597.004857058182,21527.43054513457,21486.385080340002,12034.802528783717,12005.550068059281,11926.751062653115,,
Diboson,936.1606241609028,936.1606241609028,932.1843657435936,930.3708375626252,534.1653093797361,505.9568116795616,474.9921485664247,,
ggFHbb,224.56874142701201,224.56874142701201,224.0890706789042,223.6905964784125,71.01484579701038,70.87426533699565,70.28605095874627,,
VBFHbb,66.27722451912622,66.27722451912622,66.158353933224,66.05208234932266,19.96549799470848,19.886359174581827,19.704242650573892,,
ZHbb,63.465766584473805,63.465766584473805,63.28863350654419,63.18969796746182,19.081928097880663,19.034236964924965,18.844665166911824,,
WHbb,108.86564442012758,108.86564442012758,108.59950330312063,108.482473694838,36.56266007326936,36.48191192992821,36.22186927593387,,
ggZHbb,9.5080271296301,9.5080271296301,9.48581603967797,9.468074681719918,3.8212673259319434,3.8074682948567755,3.7710952658588117,,
ttHbb,312.2634270090423,312.2634270090423,311.30158920167617,310.42204762583594,196.41387372214587,172.6767798875758,149.18630187152533,,
HWW,150.72907678953348,150.72907678953348,150.30305058855018,149.8340750587529,120.90638669268658,99.80585194651836,81.80034614814205,,
Data,1414872.0,1414872.0,,,1147439.0,1132804.0,1116698.0,1414872.0,1414872.0
