,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF >= 0.997,bbFatJetParticleNetMD_Txbb >= 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.803125191164327,25.774035901931246,25.75627430229965,8.986948084944165,5.369394832341444,5.362996527620908,5.346114622129222
QCD,1126208.5372077704,1204990.9790546382,1204990.9790546382,1200602.6007629426,1197348.6443478006,128.07250588290398,3.903852483893107,3.903852483893107,3.903852483893107
TT,126178.01663528237,126178.01663528237,126178.01663528237,125736.76451680924,125277.36730359304,32.6639627965488,1.9867048199201305,1.8542043155592278,1.8542043155592278
ST,11213.018738828063,11213.018738828063,11213.018738828063,11169.638460634647,11140.701326371089,2.3651994234205436,0.5741670465003955,0.5741670465003955,0.5741670465003955
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15879.105249841276,15839.028146450515,5.7872180647215465,0.7532352715553005,0.7532352715553005,0.7532352715553005
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22686.559702053375,22632.448203335458,3.3605870214485094,0.4680008104813343,0.4680008104813343,0.4680008104813343
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1005.7273485190779,1002.5646524206695,0.0,0.0,0.0,0.0
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,222.70977922577623,221.84267517383097,0.0,0.0,0.0,0.0
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.07985098566151,70.91620020246836,0.02543632482781493,0.02543632482781493,0.02543632482781493,0.02543632482781493
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,66.94564806851947,66.83746928536593,0.013518660686413858,0.010927305151143174,0.010927305151143174,0.010927305151143174
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,116.05038178984395,115.9228032874135,0.00809920448495892,0.003907130646312604,0.003907130646312604,0.003907130646312604
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.281565783116413,10.257879490979624,0.00222708864416049,0.0015558488620804958,0.0015558488620804958,0.0015558488620804958
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,353.44976648602244,352.0183047201511,0.07311265620845694,0.012942426047289556,0.011081083641722854,0.011081083641722854
HWW,172.07437391871363,172.07437391871363,172.07437391871363,171.42603695737873,170.6479795943025,0.8210618281256238,0.18017136370212566,0.17395308462268247,0.1483340451394643
Data,1383108.0,1383108.0,1383108.0,1383108.0,1383108.0,317.0,23.0,23.0,23.0
