,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9714,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6666139971059066,1.6591154859894288,0.5392314268271613,,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.264909243644536,1.258682643328564,1.2542619870427407,0.42526906017631005,,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3326632776423553,1.326301668406802,1.3210664369255933,0.5890363611263276,,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1462080925701774,2.133248092094022,2.1225341348193916,0.7002569513919881,,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.034024377674540085,0.03383336419098479,0.033682252519826934,0.01144025811539309,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.72007690504204,20.691431230911157,5.487080705753056,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78860657736119,34.713638841038545,34.66551485562907,9.227105929986692,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499528349928152,0.034775113179428316,0.03464415101840471,0.01657960077669276,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.901746176077005,18.86608712155698,18.84412655163469,4.9568957246468415,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08890353276162892,0.08840542303607321,0.08793676925528332,0.02710014058709182,,
QCD,1117757.9198795073,1146810.7163518853,1146810.7163518853,1138911.9448492608,1133307.2449451669,901448.6666658884,,
TT,114729.52068857195,114729.52068857195,114729.52068857195,114029.4683025561,113319.76404047944,90955.45644219773,,
ST,9991.097357360093,9991.097357360093,9991.097357360093,9922.140634086192,9871.37221638479,7979.039007530115,,
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14632.074465297448,14569.755961664541,12054.158043042291,,
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21453.74146222078,21367.30115930057,11970.011820234135,,
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,930.7571638443397,927.5041399569494,532.4015078009712,,
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,223.62056769434213,222.51728560123743,70.58857478001465,,
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.00733631376538,65.66476989295606,19.8217159627771,,
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.16347309829043,62.98984926782434,19.015826531340544,,
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.37346398025522,108.13532762314294,36.421022818521436,,
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.45631134146326,9.41204558779923,3.7979646104080773,,
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,310.20534812719706,308.225452629239,194.99479093760414,,
HWW,150.72907678953348,150.72907678953348,150.72907678953348,149.74304835468368,148.6507210554542,119.93206609737227,,
Data,1309711.0,1309711.0,1309711.0,,,1062010.0,1309711.0,1309711.0
