,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF < 0.999,BDTScore >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9147081031687907,0.9147081031687907,0.9147081031687907,0.9088022319312213,0.9037950499185726,0.894212043817242,0.04460585196257125,0.031037582572981597,0.030979230895367076,0.030769400187251293
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6688447704532685,0.6649531572120448,0.6617354385600798,0.653853543382392,0.03216368291468852,0.022028563947230503,0.021993240081612436,0.021900472607650844
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6956895087373941,0.6920514447111688,0.6892047021562906,0.6824919198831819,0.02131516780701025,0.014853177015279736,0.014853177015279736,0.014793247934005386
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1944766869755938,1.1863493648635597,1.17930333767202,1.167623605571839,0.05794412144759585,0.04158854731774344,0.041475142216389566,0.041376774965777116
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017115373482989717,0.017030078444247275,0.016924919012766975,0.01590667766396585,0.00038372181064903006,0.0002710548118651662,0.0002710548118651662,0.0002673765455299563
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.060969753010587,9.041934826728792,9.02728294983494,7.31906058432527,0.19378554430886835,0.14099109147861932,0.14072043859479927,0.13994637471079163
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.269096111629358,15.23647158421826,15.20829496277662,12.421229934293198,0.3291518814710898,0.24120165084901937,0.2400499873637078,0.2385381360491422
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.0173959132140592,0.017299990201845,0.017214419089199705,0.01673053413943861,0.00023065608422520592,0.00013471261927710293,0.00013471261927710293,0.00013471261927710293
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.138882127595444,8.123943352838433,8.11286122859791,6.505724563528981,0.1741692186509434,0.12874465437874985,0.12858823565217367,0.12783337783355592
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04617824244896124,0.0459311591300662,0.04565497610400018,0.041769973666991776,0.0011638877122963898,0.0008273086871406687,0.0008273086871406687,0.0008214656157507164
QCD,717986.216814939,956785.8146709627,956785.8146709627,948406.4124347997,941617.267942029,941611.5011837472,19.17381408314674,0.0,0.0,0.0
TT,63126.80979180276,63126.80979180276,63126.80979180276,62714.21430804499,62290.703474200425,62288.9303772574,9.444615787244874,2.2873008345425045,2.063215532910356,1.9893808813850444
ST,5417.824558008516,5417.824558008516,5417.824558008516,5380.176293677084,5350.773696634727,5350.7186052379175,0.7163401517499594,0.2793657353914413,0.2793657353914413,0.2793657353914413
W+Jets,9487.889178263631,9487.889178263631,9487.889178263631,9424.292575831972,9375.118673797197,9374.685787885508,2.276538787598324,0.7565571911299217,0.7565571911299217,0.7565571911299217
Z+Jets,12055.822300436781,12055.822300436781,12055.822300436781,11968.016139487008,11904.514452147456,11904.380330249478,1.5355102529060056,0.5963887191630219,0.5963887191630219,0.5963887191630219
Diboson,544.751536187187,544.751536187187,544.751536187187,541.5192000426408,539.5255957808083,539.5255957808083,0.0,0.0,0.0,0.0
ggFHbb,120.74204174793252,120.74204174793252,120.74204174793252,120.02707196890958,119.27175261578469,119.27175261578469,0.0,0.0,0.0,0.0
VBFHbb,32.24173303425971,32.24173303425971,32.24173303425971,32.089487243194796,31.921442997500897,31.921442997500897,0.0,0.0,0.0,0.0
ZHbb,32.70020301080715,32.70020301080715,32.70020301080715,32.51666448179822,32.40029638484181,32.40029638484181,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596
WHbb,56.014320595270185,56.014320595270185,56.014320595270185,55.69337399997595,55.51504919284625,55.51504919284625,0.003516582583401531,0.0015407501131703208,0.0015407501131703208,0.0015407501131703208
ggZHbb,4.8805631912185055,4.8805631912185055,4.8805631912185055,4.852821845932874,4.827078996358681,4.826854261517424,0.00042443859180320265,0.0,0.0,0.0
ttHbb,156.94119216557863,156.94119216557863,156.94119216557863,155.9939482895008,154.97672213467678,154.97141978934926,0.02867928018261769,0.01450359118709967,0.0135497917507822,0.01282968886115424
HWW,80.56791059341468,80.56791059341468,80.56791059341468,80.1332628058381,79.59897023669294,79.52003283293574,0.4309526385739267,0.14558869010845163,0.1392311602207478,0.12879747621905954
Data,1047903.0,1047903.0,1047903.0,1047903.0,1047903.0,1047879.0,97.0,13.0,13.0,12.0
