,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9999,bbFatJetParticleNetMD_Txbb >= 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.7015566173379557,1.6972136772823412,0.007551829364046579,0.003985835227438405,0.003985835227438405,0.003934885869298502
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.803125191164327,25.774035901931246,25.75627430229965,0.10800005107351723,0.0632495320787743,0.06316796693668274,0.06298028228291729
QCD,1126208.5372077704,1204990.9790546382,1204990.9790546382,1200602.6007629426,1197348.6443478006,4.943275369863138,0.0,0.0,0.0
TT,126178.01663528237,126178.01663528237,126178.01663528237,125736.76451680924,125277.36730359304,0.1537056516846515,0.0,0.0,0.0
ST,11213.018738828063,11213.018738828063,11213.018738828063,11169.638460634647,11140.701326371089,0.0,0.0,0.0,0.0
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15879.105249841276,15839.028146450515,0.0,0.0,0.0,0.0
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22686.559702053375,22632.448203335458,0.0,0.0,0.0,0.0
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1005.7273485190779,1002.5646524206695,0.0,0.0,0.0,0.0
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,222.70977922577623,221.84267517383097,0.0,0.0,0.0,0.0
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.07985098566151,70.91620020246836,0.0,0.0,0.0,0.0
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,66.94564806851947,66.83746928536593,0.0024144466055117117,0.0,0.0,0.0
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,116.05038178984395,115.9228032874135,0.0,0.0,0.0,0.0
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.281565783116413,10.257879490979624,0.0,0.0,0.0,0.0
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,353.44976648602244,352.0183047201511,0.0012783860927234514,0.0,0.0,0.0
HWW,172.07437391871363,172.07437391871363,172.07437391871363,171.42603695737873,170.6479795943025,0.07324260578578717,0.00988213288623655,0.00988213288623655,0.00988213288623655
Data,1383108.0,1383108.0,1383108.0,1383108.0,1383108.0,2.0,1.0,1.0,1.0
