,Pre-selection,QCD SF,LP SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9734,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.701785185949453,1.6976235820778385,0.5620225031132182,,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3238501132828857,1.3205293308077524,1.317980748116613,0.46076631931364276,,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4540657446775804,1.4510057503735083,1.4476621550387372,0.6566886871787664,,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1525536887480916,2.1456179369130273,2.140772836065327,0.7187113571718415,,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.03938444220488589,0.039277105913924984,0.03916008899348275,0.013891349599549522,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.803125191164327,25.77634533952281,25.75902470704993,6.879085008624651,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.97286862414579,42.926169985233535,42.89194332237059,11.514708073333303,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.040927888352451404,0.040821953503836245,0.01999336133156297,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.628855946473465,23.605658170508423,23.59112496839741,6.2928307207942105,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.10023448588249756,0.09995365620281188,0.09963693373490615,0.03073684742493797,,
QCD,1126208.5372077704,1203074.9790546377,1203074.9790546377,1198828.8146967872,1195654.6945963847,962461.4646635122,,
TT,126178.01663528237,126178.01663528237,126178.01663528237,125721.86252072458,125249.58535996148,101286.7670265617,,
ST,11213.018738828063,11213.018738828063,11213.018738828063,11168.452048314444,11140.719505951973,9151.929386467571,,
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15881.107695718065,15842.384142944156,13179.08817800441,,
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22689.51909652289,22638.01021402513,13022.07631832421,,
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1005.0573352561039,1001.5335960272366,586.0809739165676,,
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,222.71968015957236,221.89439691067292,73.85305179343185,,
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.08197998191031,70.88904592719425,21.026843761979066,,
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,66.95505508866002,66.85027969634586,20.859271894649346,,
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,116.09016021113949,115.97731768365011,39.45336260766084,,
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.28303977032229,10.258567730652926,4.348672916123582,,
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,353.4782835063519,351.99796261301265,225.22777640402904,,
HWW,172.07437391871363,172.07437391871363,172.07437391871363,171.39708029390346,170.57519080446693,139.24145868258833,,
Data,1381192.0,1381192.0,1381192.0,,,1136042.0,1381192.0,1381192.0
