,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9734
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.7015566173379557,1.6972136772823412,0.14641540205166362,0.10038751735983834
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3238501132828857,1.320268693885609,1.317661563936538,0.11002453256692946,0.07490946569403162
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4540657446775804,1.4509117411902488,1.4474730227963224,0.08619514295882659,0.059565649753730625
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1525536887480916,2.1452512033910387,2.140229256085729,0.17552583850864234,0.11742488481527777
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.03938444220488589,0.0392446647475824,0.0391236948975489,0.002487668953555369,0.0017178081562327415
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.803125191164327,25.774035901931246,25.75627430229965,2.789390081080461,2.115620477986406
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.97286862414579,42.92006974864868,42.88501620424844,4.590704759281738,3.478591125032759
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.04090476204464955,0.0407915993104881,0.0015553429231248339,0.0011102815028561314
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.628855946473465,23.603086216191194,23.587709054991066,2.5572693125104364,1.9391475307632757
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.10023448588249756,0.09991840064110012,0.0996159467238734,0.00879300963721322,0.006358703399900531
QCD,1126208.5372077704,1203074.9790546377,1203074.9790546377,1198693.5785187539,1195444.796068065,55.68376265164689,12.985012658129294
TT,126178.01663528237,126178.01663528237,126178.01663528237,125736.76451680924,125277.36730359304,29.187353009718905,6.034832848134106
ST,11213.018738828063,11213.018738828063,11213.018738828063,11169.638460634647,11140.701326371089,2.8143824576105807,0.5642045855619227
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15879.105249841276,15839.028146450515,7.517721507478444,2.4520127089325063
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22686.559702053375,22632.448203335458,3.5790519143490385,1.714156437362398
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1005.7273485190779,1002.5646524206695,0.0,0.0
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,222.70977922577623,221.84267517383097,0.033456804525291706,0.0018852928053611903
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.07985098566151,70.91620020246836,0.0,0.0
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,66.94564806851947,66.83746928536593,0.003569295632512806,0.00387733279537056
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,116.05038178984395,115.9228032874135,0.03059275487922157,0.021385456586578304
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.281565783116413,10.257879490979624,0.002592044515795586,0.002158016923056484
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,353.44976648602244,352.0183047201511,0.08633063745016835,0.026147391741395277
HWW,172.07437391871363,172.07437391871363,172.07437391871363,171.42603695737873,170.6479795943025,1.5475813777744443,0.39528413071648755
Data,1381192.0,1381192.0,1381192.0,1381192.0,1381192.0,212.0,37.0
