,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScore_JES_down >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.998
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.6956488206244413,1.6870219762186835,0.1459731397991711,0.10046469344777002,0.10033176638401699,0.09983096163294812,,,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3238501132828857,1.3165197593868019,1.3110214829059383,0.109830127589709,0.07498684164115671,0.07492909399385207,0.07461484957865079,,,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4540657446775804,1.4462305900962389,1.4392955507192307,0.08629516657130776,0.059616794192068084,0.05949432640666749,0.059320065894115565,,,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1525536887480916,2.137570596615636,2.1263297666407253,0.1741930794590655,0.1162979724509249,0.11609911143199947,0.11559903794881526,,,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.03938444220488589,0.03908003702313971,0.03885051323503232,0.002495481346828618,0.0017206867727512876,0.0017206867727512876,0.0017177301374688247,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.803125191164327,25.742252257394117,25.704945059660464,2.7855616395492984,2.1141122165916606,2.1110516241660626,2.1048236105087397,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.97286862414579,42.8629150243242,42.79297341024497,4.588682592319346,3.4792974100242353,3.472378852282117,3.4587834801334476,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.04073303080960986,0.0405174122694524,0.0015373860948885145,0.0010944447957954673,0.0010913603402334636,0.001090262670434238,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.628855946473465,23.573988818796686,23.541072415448003,2.557285409460884,1.9394474924931915,1.9355838192866455,1.9283247053372394,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.10023448588249756,0.09962742189198046,0.09895818332933407,0.00876794065173354,0.006331678074526469,0.00633030588826728,0.006276974601581109,,,
QCD,1126208.5372077704,1204990.9790546382,1204990.9790546382,1195580.4197497359,1188493.8378485164,55.772443815413084,13.005692403520165,13.005692403520165,13.005692403520165,,,
TT,126178.01663528237,126178.01663528237,126178.01663528237,125277.51309674431,124328.8175008741,29.803506945344495,6.031530979259552,5.2857073002507144,4.60086745474619,,,
ST,11213.018738828063,11213.018738828063,11213.018738828063,11119.661879992498,11058.864901644467,2.5529676465920046,0.5642045855619227,0.5642045855619227,0.5642045855619227,,,
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15826.798062580072,15744.192115021908,7.46612552868051,2.2903972267592114,2.2903972267592114,2.2903972267592114,,,
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22591.343797623595,22477.3522387971,3.2395626900943775,1.565703786020525,1.565703786020525,1.565703786020525,,,
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1001.555468829989,995.7367767362746,0.0,0.0,0.0,0.0,,,
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,222.20721408699214,220.60052287185852,0.033456804525291706,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,,,
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,70.93247270180143,70.49767611071601,0.0,0.0,0.0,0.0,,,
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,66.73802979718431,66.52688948307338,0.003569295632512806,0.00387733279537056,0.00387733279537056,0.00387733279537056,,,
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,115.70531888025883,115.43919849488618,0.03059275487922157,0.021385456586578304,0.021385456586578304,0.021385456586578304,,,
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.25139710473921,10.200185500756241,0.002592044515795586,0.002158016923056484,0.002158016923056484,0.002158016923056484,,,
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,351.98243580111443,349.16857078942746,0.09253556190692869,0.0292817645187906,0.027235944698731803,0.02525787256322367,,,
HWW,172.07437391871363,172.07437391871363,172.07437391871363,170.7911521048616,169.23726416010865,1.5291171950672848,0.39430201833140344,0.38121892841716454,0.368134795508011,,,
Data,1383108.0,1383108.0,1383108.0,,,,38.0,36.0,35.0,1383108.0,1383108.0,213.0
