,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScore_JES_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9735,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.995
HHbbVV,0.9147081031687907,0.9147081031687907,0.9021974589337566,0.8921274934572291,0.06899558603761696,0.04809091748521565,0.04428205641884461,0.044223704741230094,0.04398257817659365,,,
QCD,717986.216814939,956785.8146709627,938661.3615136005,924579.0079995885,38.675335962487175,0.555839799505896,0.555839799505896,0.555839799505896,0.555839799505896,,,
TT,63126.80979180276,63126.80979180276,62281.26379618576,61419.84821786183,17.10928471287575,3.106720407790599,3.165858565999319,2.8339262905256395,2.760091639000328,,,
ST,5417.824558008516,5417.824558008516,5343.110583081037,5284.0364074716335,0.9193353190391875,0.30245845618708966,0.30245845618708966,0.30245845618708966,0.30245845618708966,,,
W+Jets,9487.889178263631,9487.889178263631,9357.72731042376,9249.165805487482,4.19457575037873,1.0371520695821397,1.0371520695821397,1.0371520695821397,1.0371520695821397,,,
Z+Jets,12055.822300436781,12055.822300436781,11862.409496423767,11728.495220567063,2.71692181332763,1.1170452123571555,1.1170452123571555,1.1170452123571555,1.1170452123571555,,,
Diboson,544.751536187187,544.751536187187,538.0128172568578,533.0567491419495,0.0,0.0,0.0,0.0,0.0,,,
ggFHbb,120.74204174793252,120.74204174793252,119.40071843999348,117.91244552095317,0.019332181450584476,0.019332181450584476,0.019332181450584476,0.019332181450584476,0.019332181450584476,,,
VBFHbb,32.24173303425971,32.24173303425971,31.963053181455805,31.627848698776596,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,32.70020301080715,32.70020301080715,32.31418583302164,32.04157172822267,0.005904869007387837,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,,,
WHbb,56.014320595270185,56.014320595270185,55.31129788288006,54.93711011186556,0.007547547885173581,0.003497835613880227,0.003497835613880227,0.003497835613880227,0.003497835613880227,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.818097766172652,4.7680686559651555,0.0007114921480919195,0.00012382488477811367,0.00012382488477811367,0.00012382488477811367,0.00012382488477811367,,,
ttHbb,156.94119216557863,156.94119216557863,154.9802638394503,152.95156197255415,0.04801535057802785,0.015314883953394174,0.01424097883055935,0.013287179394241877,0.012567076504613922,,,
HWW,80.56791059341468,80.56791059341468,79.61251131832795,78.50954646527252,0.6730029797806384,0.21403253503886163,0.2020094541959496,0.1956519243082457,0.1849144730068425,,,
Data,1047903.0,1047903.0,,,,33.0,33.0,33.0,32.0,1047903.0,1047903.0,182.0
