,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,217024.57022120897,199761.22943304302,193268.0878899155,192995.9427076308,192075.65211951258
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,24406.934342661865,22890.848055949642,21744.25726323087,18616.336689039552,16751.837031943865
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2218.1516666290854,2082.1458967364,1953.3069238907713,1731.671136025015,1571.382140056762
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,1978.4586522724517,1862.788190653046,1707.7379443297687,1703.2586053204186,1696.3353516642783
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,3103.9349914628,2587.0642905162704,2470.3180129426314,2463.8732417539904,2448.9314713252115
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,80.08395618730563,63.4677149958339,62.23911305613056,57.05771042601515,51.86916133586978
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,137.30163450294827,66.6474244410065,64.63063386151504,64.48655860673826,64.01963208591002
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,47.991409888874216,21.199843757570946,20.433352840245227,20.325213374225285,20.124346998988607
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,37.793882467991374,17.597052335461996,16.59205656057236,16.552390973681288,16.408235126097445
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,73.75507817172256,35.79074498843786,32.99717963899832,32.92871241739754,32.71441758073806
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,4.518411428170684,2.411219112897287,2.308747565713399,2.3012951563060713,2.283924393441402
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,100.14115102598332,67.75940341306024,64.65152287079948,55.659597632094176,48.16609507489836
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,30.81674066020127,29.052516357568376,25.64423544978572,20.610277061866526,17.13648757504397
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,250856.0,232894.0,220934.0,216868.0,213893.0
