,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.992704362069707,10.974097162767547,2.016300219491902,1.2226562102547167,1.2209418959367044,1.2177075643824053
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208187.047601593,1199914.6854996895,8.686737289451361,6.049274062699175,6.049274062699175,6.049274062699175
TT,76537.02908224265,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,3.048357956111577,0.28478346905244667,0.19833306139855253,0.19833306139855253
ST,6617.229257123121,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,0.2299824539419991,0.0,0.0,0.0
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,0.7683069169523391,0.0,0.0,0.0
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,0.0641416456478138,0.0,0.0,0.0
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,0.0,0.0,0.0,0.0
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,0.0,0.0,0.0,0.0
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,0.0,0.0,0.0,0.0
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,0.0,0.0,0.0,0.0
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,0.0,0.0,0.0,0.0
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,0.0,0.0,0.0,0.0
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,0.006165574380285853,0.0,0.0,0.0
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,0.13403116507676896,0.024495511020702233,0.020903777221213286,0.019043195024484337
Data,1331012.0,1331012.0,1331012.0,1331012.0,1331012.0,29.0,2.0,2.0,2.0
