,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9737,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.0917069850409113,1.0781356268307336,0.3629648059473203,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.8015758690220187,0.7910546533336967,0.7830650557850098,0.27263474583867625,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8397792227107982,0.8295842026069971,0.8209061063174796,0.3682955739713874,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4337517442784347,1.4101042999942586,1.390663224347363,0.4760986141015309,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.02130646456807585,0.021064324561273218,0.007601701724363736,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.96606943523112,10.92642042184287,2.9837979717182073,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.523340727906472,18.42754518001746,18.356068000148724,5.062573586612216,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.02124839594879495,0.021033610058694998,0.010262449153721438,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.95063113617899,9.910018440163697,9.879815192310277,2.69193196441601,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.055519657883855295,0.05485418505523361,0.01766252941652336,,
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1195253.18073095,1177719.865509848,949985.9618030372,,
TT,76537.02908224265,76537.02908224265,76537.02908224265,75455.8672753345,74346.61812260182,58820.24384406234,,
ST,6617.229257123121,6617.229257123121,6617.229257123121,6513.894336293484,6437.416751030387,5201.817311594106,,
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12242.321861551814,12084.680852048914,10119.357499348227,,
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14468.821057932211,14291.993481946272,8265.569397715464,,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,693.0662177097603,685.7998823459604,420.9525776312646,,
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,137.1939721773011,135.31119077640614,44.61824265600723,,
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.24272494114581,39.87078912776376,12.737142547725545,,
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.05426925581597,37.73628835069991,11.650735028339612,,
WHbb,66.232275837835,66.232275837835,66.232275837835,65.32166411216625,64.87958091280734,22.652820945833795,,
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.849255584936747,5.77720182418215,2.313726294494792,,
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,185.57110999047728,183.10434371442994,114.38477765056805,,
HWW,97.55810924622651,97.55810924622651,97.55810924622651,96.30840345343226,94.86719745065234,76.13548776448891,,
Data,1331012.0,1331012.0,1331012.0,,,1100458.0,1331012.0,1331012.0
