,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt_JES_down ≥ 300,VVFatJetPt_JES_down ≥ 300,bbFatJetParticleNetMD_Txbb ≥ 0.8,bbFatJetParticleNetMD_Txbb < 0.9734,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300
HHbbVV,4.212152831867275,1.992043000326517,1.992043000326517,1.992043000326517,1.979315381204395,1.9692937886153392,1.9692937886153392,0.6515030229012636,,
ggHH_kl_2p45_kt_1_HHbbVV,2.9745782884612515,1.5432728900245152,1.5432728900245152,1.5432728900245152,1.53452907210223,1.527972701793388,1.527972701793388,0.5328504421454829,,
ggHH_kl_5_kt_1_HHbbVV,3.024267581347732,1.6992983771239942,1.6992983771239942,1.6992983771239942,1.6901339288463433,1.6818416063439483,1.6818416063439483,0.7670642058867524,,
ggHH_kl_0_kt_1_HHbbVV,5.525753766039689,2.5008088076536663,2.5008088076536663,2.5008088076536663,2.4836150834125355,2.4698945509771013,2.4698945509771013,0.8260450926284784,,
qqHH_CV_1_C2V_1_kl_1_HHbbVV,0.08080083387529777,0.0471359884176165,0.0471359884176165,0.0471359884176165,0.04676991344354453,0.04647184520152999,0.04647184520152999,0.0164000986975757,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,37.59031628851101,30.684634831131394,30.684634831131394,30.684634831131394,30.61255732567977,30.567646470278625,30.567646470278625,8.148313105201513,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,63.61565564660195,51.09146910173492,51.09146910173492,51.09146910173492,50.957734855438616,50.87045793107978,50.87045793107978,13.667651166586525,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0755132861969917,0.04912744088644729,0.04912744088644729,0.04912744088644729,0.04874694113692086,0.04847721999808883,0.04847721999808883,0.02356734791390673,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,33.59757114342516,28.05713425984107,28.05713425984107,28.05713425984107,27.992469705240662,27.95270896917967,27.95270896917967,7.437587413675428,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.21899698228055675,0.11904051829601674,0.11904051829601674,0.11904051829601674,0.11835648696559407,0.11755072693151564,0.11755072693151564,0.03614161431394364,,
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,20.109831451322012,16.609688285231236,16.609688285231236,16.609688285231236,16.570467777366872,16.546249797604208,16.546249797604208,4.444565034878347,,
QCD,3052764.194451403,1301832.896386517,1396522.353647176,1396522.353647176,1385531.5714438106,1377107.0821785228,1377107.0821785228,1107936.0253734428,,
TT,217539.42041251797,122304.088162081,122304.088162081,122304.088162081,121416.84965718926,120482.37212459877,120482.37212459877,97482.33468124944,,
ST,15175.476848651859,9009.706988812268,9009.706988812268,9009.706988812268,8929.772485362719,8884.996147039898,8884.996147039898,7286.581248951196,,
V+Jets,85869.75128605982,45001.54838412287,45001.54838412287,45001.54838412287,44666.804482479805,44435.10942452332,44435.10942452332,30291.290164852322,,
Diboson,1365.2537297679432,749.3028178092068,749.3028178092068,749.3028178092068,743.6454024810629,738.3962290788224,738.3962290788224,435.78435387110324,,
Data,1573587.0,1573587.0,1573587.0,1573587.0,,,1573587.0,1294132.0,1573587.0,1573587.0
